nombre;Token0;Token1;Token2;Token3;Token4
circunvalacion;circunvalacion;;;;
emeli bestani;emeli;bestani;;;
susana quintela;susana;quintela;;;
la banderita;la;banderita;;;
loteo san andres;loteo;san;andres;;
florentino caceres;florentino;caceres;;;
futuro;futuro;;;;
bomba del agua;bomba;del;agua;;
francisco i y ii;francisco;i;y;ii;
autodromo norte;autodromo;norte;;;
joya del velazco;joya;del;velazco;;
virgen de los cerros ii;virgen;de;los;cerros;ii
mauro peña;mauro;peña;;;
la rodadera;la;rodadera;;;
las varillas;las;varillas;;;
virgen desatanudos;virgen;desatanudos;;;
cristo de abraham;cristo;de;abraham;;
loma del gitano;loma;del;gitano;;
rosa de guadalupe;rosa;de;guadalupe;;
ocho de diciembre;ocho;de;diciembre;;
san hector;san;hector;;;
monte grande;monte;grande;;;
nuevo hospital;nuevo;hospital;;;
maracana;maracana;;;;
