ciudad;Token0;Token1;Token2;Token3;Token4
aimogasta;aimogasta;;;;
arauco;arauco;;;;
aminga;aminga;;;;
castro barros;castro;barros;;;
chamical;chamical;;;;
chepes;chepes;;;;
rvera peñaloza;rvera;peñaloza;;;
rosario vera peñaloza;rosario;vera;peñaloza;;
chilecito;chilecito;;;;
famatina;famatina;;;;
la rioja;la;rioja;;;
capital;capital;;;;
los sauces;los;sauces;;;
san blas de los sauces;san;blas;de;los;sauces
san blas;san;blas;;;
malanzan;malanzan;;;;
general juan facundo quiroga;general;juan;facundo;quiroga;
gral jfquiroga;gral;jfquiroga;;;
olta;olta;;;;
gral belgrano;gral;belgrano;;;
general belgrano;general;belgrano;;;
patquia;patquia;;;;
independencia;independencia;;;;
tama;tama;;;;
gral peñaloza;gral;peñaloza;;;
gral angel v peñaloza;gral;angel;v;peñaloza;
ulapes;ulapes;;;;
san martin;san;martin;;;
general san martin;general;san;martin;;
villa castelli;villa;castelli;;;
general lamadrid;general;lamadrid;;;
villa san jose de vinchina;villa;san;jose;de;vinchina
vinchina;vinchina;;;;
villa sanagasta;villa;sanagasta;;;
sanagasta;sanagasta;;;;
villa santa rita de catuna;villa;santa;rita;de;catuna
gral ocampo;gral;ocampo;;;
general ocampo;general;ocampo;;;
villa union;villa;union;;;
cnel f varela;cnel;f;varela;;
coronel felipe varela;coronel;felipe;varela;;
