Nombre;Token0;Token1;Token2;Token3;Token4;Token5;Token6;Token7;Token8;Token9;Token10
hospital de la madre y el niño (la rioja) - capital;hospital;de;la;madre;y;el;niño;(la;rioja);-;capital
hospital campanas;hospital;campanas;;;;;;;;;
hospital diego catalan - ulapes;hospital;diego;catalan;-;ulapes;;;;;;
hospital jose florencio rios - pituil;hospital;jose;florencio;rios;-;pituil;;;;;
hospital osvaldo polo - los robles;hospital;osvaldo;polo;-;los;robles;;;;;
hospital gregorio chavez - malanzan;hospital;gregorio;chavez;-;malanzan;;;;;;
hospital guandacol;hospital;guandacol;;;;;;;;;
hospital jose francisco de la vega - tama;hospital;jose;francisco;de;la;vega;-;tama;;;
hospital luis aldo motta - olta;hospital;luis;aldo;motta;-;olta;;;;;
hospital mohibe akil de menem - anillaco;hospital;mohibe;akil;de;menem;-;anillaco;;;;
hospital portezuelo;hospital;portezuelo;;;;;;;;;
hospital ramon carrillo - famatina;hospital;ramon;carrillo;-;famatina;;;;;;
hospital ramon linidor martinez - vinchina;hospital;ramon;linidor;martinez;-;vinchina;;;;;
hospital santa rita de catuna;hospital;santa;rita;de;catuna;;;;;;
hospital segundo b. romero - milagro;hospital;segundo;b.;romero;-;milagro;;;;;
hospital villa castelli;hospital;villa;castelli;;;;;;;;
hospital virgen maria de fatima;hospital;virgen;maria;de;fatima;;;;;;
hospital enrique vera barros - capital;hospital;enrique;vera;barros;-;capital;;;;;
hospital anibal rabaglino - punta de los llanos;hospital;anibal;rabaglino;-;punta;de;los;llanos;;;
hospital chañar;hospital;chañar;;;;;;;;;
hospital rene favaloro - desiderio tello;hospital;rene;favaloro;-;desiderio;tello;;;;;
hospital nonogasta;hospital;nonogasta;;;;;;;;;
hospital pagancillo;hospital;pagancillo;;;;;;;;;
hospital pinchas;hospital;pinchas;;;;;;;;;
hospital santa rosa de lima - patquia;hospital;santa;rosa;de;lima;-;patquia;;;;
hospital sañogasta;hospital;sañogasta;;;;;;;;;
hospital teresa de la cruz herrera - sanagasta;hospital;teresa;de;la;cruz;herrera;-;sanagasta;;;
hospital victor pedernera vichigasta;hospital;victor;pedernera;vichigasta;;;;;;;
hospital villa mazan;hospital;villa;mazan;;;;;;;;
hospital eduardo s. neira - villa union;hospital;eduardo;s.;neira;-;villa;union;;;;
hospital eleazar herrera motta - chilecito;hospital;eleazar;herrera;motta;-;chilecito;;;;;
hospital luis agote - chamical;hospital;luis;agote;-;chamical;;;;;;
hospital luis pasteur - chepes;hospital;luis;pasteur;-;chepes;;;;;;
hospital san nicolas - aimogasta;hospital;san;nicolas;-;aimogasta;;;;;;
